X,Y,GID,MHN,IDENTIFICA,RESOLUCION,DIRECCION,AUTORIA,FECHA,DECRETO
-56.1943782,-34.8558356,66440894,B.I.D,Araucaria bidwillii,Decreto Departamental Nº26728,"Parque Posadas, próxima al centro comercial",,,
-56.1942401,-34.8566793,66440895,B.I.D,Melaleuca styphelioides 'Árbol del papel',Decreto Departamental Nº26728,"Parque Posadas, en el borde del bosquecillo próximo a la Casona",,,
-56.1942187,-34.856267,66440896,B.I.D,Phoenix dactylífera 'Dactilero',Decreto Departamental Nº26728,"Parque Posadas, espacio libre entre la Casona y el centro comercial",,,
-56.1938148,-34.8572338,66440897,B.I.D,Jubaea spectabilis,Decreto Departamental Nº26728,"Parque Posadas, inmediata al vivero Ing. Agr. Eladio Chaves",,,
-56.1883001,-34.8590708,66440899,B.I.D,Butia capitata 'Butia' (avenida 28 ejemplares),Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, sobre avenida peatonal entre la Casona y la CEP Prado",,,
-56.1876123,-34.8581557,66440900,B.I.D,Araucaria angustifolia 'Pino de Brasil' (avenida 15 ejemplares),Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, sobre avenida peatonal, cercana a la cancha cerrada",,,
-56.187965,-34.8579247,66440901,B.I.D,Cupressus sempervirens,Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, prado inferior sobre Vaz Ferreira",,,
-56.187657,-34.8600068,66440902,B.I.D,Phytolacca dioica 'Ombú',Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, muy próximo a la casona sobre retiro lateral",,,
-56.1882793,-34.8599298,66440903,B.I.D,Pinus canariensis,Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, pegado al acceso sobre Luis Alberto de Herrera",,,
-56.1881931,-34.8599426,66440904,B.I.D,Scutia buxifolia 'Coronilla',Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, inmediato al acceso sobre Luis Alberto de Herrera",,,
-56.1883024,-34.859595,66440905,B.I.D,Laurus nobilis 'Laurel' 'Laurel real' 'laurel de comer' (avenida),Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, sobre avenida paralela a L. A. de Herrera, divide el jardín frontal del posterior",,,
-56.1887348,-34.8596117,66440906,B.I.D,Araucaria heterophylla,Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, sobre retiro frontal",,,
-56.1863179,-34.8582752,66440907,B.I.D,Populus deltoides 'Alamo de la Carolina',Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, límite del predio, sobre eje medianero y calle Albert Schweizer",,,
-56.1891533,-34.8589231,66440908,B.I.D,Chaenomeles chinensis 'Membrillo del Japón' (3 ejemplares),Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, sobre camino del trabajo antiguo, del lado de la Iglesia",,,
-56.187851,-34.8590982,66440909,B.I.D,Enterolobium contortisiliquum 'Timbó',Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, a 20 m de la avenida principal por el acceso de L. A. de Herrera",,,
-56.188197,-34.859448,66440910,B.I.D,Ficus pseudopalma,Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, próximo al Cinamommm camphora, en un claro luego de la av. De Plátanos",,,
-56.1881153,-34.8595627,66440911,B.I.D,Cinnamomum Camphora 'Alcanfor' 'Alcanforero',Decreto Departamental Nº26728,"L. A. de Herrera 4196, Cambadu, próximo a la Av. de Laurus nobilis",,,
